综合其他,#genre#
民视第一台,http://gkb.vigosee.com:50007/4gtv-4gtv003/index.m3u8?proxy=true
民视台湾台,http://gkb.vigosee.com:50007/4gtv-4gtv001/index.m3u8?proxy=true
民视HD,http://gkb.vigosee.com:50007/4gtv-4gtv002/index.m3u8?proxy=true
大爱电视,http://gkb.vigosee.com:50007/4gtv-live007/index.m3u8?proxy=true
中视,http://gkb.vigosee.com:50007/4gtv-4gtv040/index.m3u8?proxy=true
华视,http://gkb.vigosee.com:50007/4gtv-4gtv041/index.m3u8?proxy=true
三立综合台,http://gkb.vigosee.com:50007/4gtv-live207/index.m3u8?proxy=true
客家电视,http://gkb.vigosee.com:50007/4gtv-4gtv043/index.m3u8?proxy=true
中视菁采台,http://gkb.vigosee.com:50007/4gtv-4gtv064/index.m3u8?proxy=true
靖天综合,http://gkb.vigosee.com:50007/4gtv-4gtv046/index.m3u8?proxy=true
靖天日本,http://gkb.vigosee.com:50007/4gtv-4gtv047/index.m3u8?proxy=true
新唐人亚太台,http://gkb.vigosee.com:50007/4gtv-live050/index.m3u8?proxy=true
Arirang TV,http://gkb.vigosee.com:50007/4gtv-4gtv079/index.m3u8?proxy=true
原住民族电视台,http://gkb.vigosee.com:50007/4gtv-live014/index.m3u8?proxy=true
东森购物四台,http://gkb.vigosee.com:50007/4gtv-live049/index.m3u8?proxy=true
东森购物一台,http://gkb.vigosee.com:50007/4gtv-live047/index.m3u8?proxy=true
东森购物一台,http://gkb.vigosee.com:50007/4gtv-4gtv102/index.m3u8?proxy=true
TVBS HD,http://gkb.vigosee.com:50007/4gtv-4gtv073/index.m3u8?proxy=true
东森购物二台,http://gkb.vigosee.com:50007/4gtv-live046/index.m3u8?proxy=true
东森购物二台,http://gkb.vigosee.com:50007/4gtv-4gtv103/index.m3u8?proxy=true
靖天育乐,http://gkb.vigosee.com:50007/4gtv-4gtv062/index.m3u8?proxy=true
靖天国际,http://gkb.vigosee.com:50007/4gtv-4gtv063/index.m3u8?proxy=true
靖天欢乐,http://gkb.vigosee.com:50007/4gtv-4gtv054/index.m3u8?proxy=true
靖天资讯,http://gkb.vigosee.com:50007/4gtv-4gtv065/index.m3u8?proxy=true
韩国娱乐台,http://gkb.vigosee.com:50007/4gtv-4gtv016/index.m3u8?proxy=true
东森购物三台,http://gkb.vigosee.com:50007/4gtv-live048/index.m3u8?proxy=true
好消息,http://gkb.vigosee.com:50007/litv-ftv16/index.m3u8?proxy=true
好消息2台,http://gkb.vigosee.com:50007/litv-ftv17/index.m3u8?proxy=true
大爱二台,http://gkb.vigosee.com:50007/4gtv-live106/index.m3u8?proxy=true
人间卫视,http://gkb.vigosee.com:50007/4gtv-live008/index.m3u8?proxy=true
国会频道1台,http://gkb.vigosee.com:50007/4gtv-4gtv084/index.m3u8?proxy=true
国会频道2台,http://gkb.vigosee.com:50007/4gtv-4gtv085/index.m3u8?proxy=true
民视第一台,http://gkb.vigosee.com:50007/li-4gtv-4gtv003/index.m3u8?proxy=true
民视台湾台,http://gkb.vigosee.com:50007/li-4gtv-4gtv001/index.m3u8?proxy=true
民视HD,http://gkb.vigosee.com:50007/4gtv-4gtv155/index.m3u8?proxy=true
中视,http://gkb.vigosee.com:50007/li-4gtv-4gtv040/index.m3u8?proxy=true
华视,http://gkb.vigosee.com:50007/li-4gtv-4gtv041/index.m3u8?proxy=true
中天亚洲台,http://gkb.vigosee.com:50007/4gtv-4gtv109/index.m3u8?proxy=true
