CCTV4K,rtp://239.200.200.202:8784
北京卫视4K,rtp://239.200.201.209:9008
北京卫视4K,rtp://239.200.200.227:9000
东方卫视4K,rtp://239.200.201.222:9028
广东卫视4K,rtp://239.200.201.213:9012
深圳卫视4K,rtp://239.200.201.212:9008
湖南卫视4K,rtp://239.200.201.219:9016
山东卫视4K,rtp://239.200.201.223:9092
四川卫视4K,rtp://239.200.201.224:9096
浙江卫视4K,rtp://239.200.201.221:9024
江苏卫视4K,rtp://239.200.201.220:9020
欢笑剧场4K,rtp://239.200.200.216:8728
CCTV16-4K,rtp://239.200.200.194:8780
云南4K,rtp://239.200.200.178:8884
CCTV1HD,rtp://239.200.201.135:8880
CCTV1HD,rtp://239.200.200.97:8108
CCTV1HD,rtp://239.200.201.210:8888
CCTV1HD,rtp://239.200.200.113:8512
CCTV1HD,rtp://239.200.200.89:8024
CCTV1HD,rtp://239.200.200.130:8012
CCTV1HD,rtp://239.200.201.189:8148
CCTV1HD,rtp://239.200.200.100:8084
CCTV1HD,rtp://239.200.200.70:8008
CCTV1HD,rtp://239.200.200.82:8004
CCTV1HD,rtp://239.200.201.177:8656
CCTV1HD,rtp://239.200.201.208:8688
CCTV1HD,rtp://239.200.200.92:8028
CCTV1HD,rtp://239.200.200.88:8020
CCTV1HD,rtp://239.200.201.202:8760
CCTV1HD,rtp://239.200.200.212:8720
CCTV1HD,rtp://239.200.200.84:8016
CCTV1HD,rtp://239.200.201.146:8136
CCTV1HD,rtp://239.200.200.125:8654
CCTV1HD,rtp://239.200.200.95:8044
CCTV1HD,rtp://239.200.200.93:8088
CCTV1HD,rtp://239.200.200.119:8444
CCTV1HD,rtp://239.200.200.135:8076
CCTV1HD,rtp://239.200.200.86:8008
CCTV1HD,rtp://239.200.200.169:8402
CCTV1HD,rtp://239.200.200.14:8852
CCTV1HD,rtp://239.200.201.116:8412
CCTV1HD,rtp://239.200.200.209:8976
CCTV1HD,rtp://239.200.200.83:8000
CCTV1HD,rtp://239.200.200.204:8708
CCTV1HD,rtp://239.200.200.85:8032
CCTV1HD,rtp://239.200.200.123:8612
CCTV1HD,rtp://239.200.200.120:8401
CCTV1HD,rtp://239.200.200.136:8060
CCTV1HD,rtp://239.200.201.174:8640
CCTV1HD,rtp://239.200.201.45:8800
CCTV1HD,rtp://239.200.200.94:8100
CCTV1HD,rtp://239.200.200.196:8128
CCTV1HD,rtp://239.200.201.111:8116
CCTV1HD,rtp://239.200.201.167:8596
CCTV1HD,rtp://239.200.200.98:8052
CCTV1HD,rtp://239.200.201.211:8888
CCTV1HD,rtp://239.200.200.117:8712
CCTV1HD,rtp://239.200.201.41:8520
CCTV1HD,rtp://239.200.200.206:8144
CCTV2HD,rtp://239.200.200.104:8084
CCTV3HD,rtp://239.200.200.18:9008
CCTV3HD,rtp://239.200.200.71:8012
CCTV3HD,rtp://239.200.200.76:9004
CCTV4HD,rtp://239.200.200.128:8652
CCTV4欧洲HD,rtp://239.200.201.180:4220
CCTV4美洲HD,rtp://239.200.201.181:4220
CCTV5HD,rtp://239.200.201.5:4120
CCTV5HD,rtp://239.200.200.20:9016
CCTV5HD,rtp://239.200.201.81:4120
CCTV5HD,rtp://239.200.200.10:9008
CCTV5+HD,rtp://239.200.200.9:8004
CCTV6HD,rtp://239.200.200.21:9020
CCTV7HD,rtp://239.200.200.105:8104
CCTV8HD,rtp://239.200.200.23:9028
CCTV9HD,rtp://239.200.200.106:8112
CCTV10HD,rtp://239.200.200.107:8116
CCTV11HD,rtp://239.200.201.125:8480
CCTV12HD,rtp://239.200.200.108:8124
CCTV12HD,rtp://239.200.200.81:1234
CCTV13HD,rtp://239.200.200.91:8036
CCTV13HD,rtp://239.200.201.170:8620
CCTV14HD,rtp://239.200.200.109:8132
CCTV15HD,rtp://239.200.201.112:8496
CCTV16HD,rtp://239.200.200.193:8776
CCTV17HD,rtp://239.200.201.128:8504
CETV1HD,rtp://239.200.201.49:8756
CETV4HD,rtp://239.200.201.122:8784
CGTNHD,rtp://239.200.201.182:4220
CGTN纪录HD,rtp://239.200.201.183:4220
CGTN阿语HD,rtp://239.200.201.186:4220
CGTN俄语HD,rtp://239.200.201.187:4220
CGTN西语HD,rtp://239.200.201.184:4220
CGTN法语HD,rtp://239.200.201.185:4220
CHC影迷电影HD,rtp://239.200.201.34:8148
CHC家庭影院HD,rtp://239.200.201.30:8140
CHC动作电影HD,rtp://239.200.201.31:8144
梨园频道HD,rtp://239.200.200.101:8048
茶频道HD,rtp://239.200.201.36:8404
武术世界HD,rtp://239.200.200.90:8064
金鹰纪实HD,rtp://239.200.201.126:8840
文物宝库HD,rtp://239.200.200.96:8112
快乐垂钓HD,rtp://239.200.200.103:8400
中国交通HD,rtp://239.200.201.138:8556
中国天气HD,rtp://239.200.200.213:8724
重庆卫视HD,rtp://239.200.200.230:8364
江苏卫视HD,rtp://239.200.200.7:8028
浙江卫视HD,rtp://239.200.200.141:8724
东方卫视HD,rtp://239.200.200.8:8032
深圳卫视HD,rtp://239.200.200.67:8776
北京卫视HD,rtp://239.200.200.5:8024
山东卫视HD,rtp://239.200.200.168:8748
天津卫视HD,rtp://239.200.200.69:1234
贵州卫视HD,rtp://239.200.201.119:8788
四川卫视HD,rtp://239.200.201.137:8796
云南卫视HD,rtp://239.200.200.205:8616
云南卫视HD,rtp://239.200.200.145:8840
云南卫视HD,rtp://239.200.201.141:8872
广西卫视HD,rtp://239.200.200.53:8280
黑龙江卫视HD,rtp://239.200.200.66:8016
安徽卫视HD,rtp://239.200.200.129:8720
山西卫视HD,rtp://239.200.200.56:8292
江西卫视HD,rtp://239.200.201.79:8876
湖北卫视HD,rtp://239.200.200.68:8772
旅游卫视HD,rtp://239.200.201.159:8408
陕西卫视HD,rtp://239.200.200.55:8288
东南卫视HD,rtp://239.200.201.69:8764
吉林卫视HD,rtp://239.200.201.127:8792
辽宁卫视HD,rtp://239.200.200.167:8736
湖南卫视HD,rtp://239.200.200.6:8012
广东卫视HD,rtp://239.200.201.35:8768
河南卫视HD,rtp://239.200.201.158:8412
甘肃卫视HD,rtp://239.200.200.186:8356
青海卫视HD,rtp://239.200.200.58:8300
康巴卫视HD,rtp://239.200.200.166:8128
金鹰卡通HD,rtp://239.200.200.65:8328
山东教育卫视HD,rtp://239.200.201.77:8132
凤凰中文HD,rtp://239.200.200.132:8876
凤凰资讯HD,rtp://239.200.200.133:8880
星空卫视HD,rtp://239.200.200.134:8884
北京纪实科教HD,rtp://239.200.200.147:8728
财富天下HD,rtp://239.200.201.178:8684
快乐购HD,rtp://239.200.201.114:8892
channel VHD,rtp://239.200.200.131:8888
