CCTV-1 综合,rtp://239.21.1.120:5002
CCTV-2 财经,rtp://239.21.1.151:5002
CCTV-3 综艺,rtp://239.21.2.45:5002
CCTV-4 (美洲),rtp://239.21.2.29:5002
CCTV-4 (欧洲),rtp://239.21.2.28:5002
CCTV-4 (亚洲),rtp://239.21.1.154:5002
CCTV-4K 超高清,rtp://239.21.2.152:5002
CCTV-5 体育,rtp://239.21.2.46:5002
CCTV-5+ 体育赛事,rtp://239.21.1.142:5002
CCTV-6 电影,rtp://239.21.2.47:5002
CCTV-7 国防军事,rtp://239.21.1.152:5002
CCTV-8 电视剧,rtp://239.21.2.48:5002
CCTV-9 纪录,rtp://239.21.1.153:5002
CCTV-10 科教,rtp://239.21.1.155:5002
CCTV-11 戏曲,rtp://239.21.2.2:5002
CCTV-12 社会与法,rtp://239.21.1.156:5002
CCTV-13 新闻,rtp://239.21.2.3:5002
CCTV-14 少儿,rtp://239.21.1.157:5002
CCTV-15 音乐,rtp://239.21.2.4:5002
CCTV-17 农业农村,rtp://239.21.1.186:5002
CETV-1,rtp://239.21.2.7:5002
CETV-4,rtp://239.21.2.129:5002
CGTN,rtp://239.21.2.30:5002
CGTN纪录,rtp://239.21.2.31:5002
CGTN西语,rtp://239.21.2.32:5002
CGTN阿语,rtp://239.21.2.34:5002
CGTN俄语,rtp://239.21.2.35:5002
CGTN法语,rtp://239.21.2.33:5002
安徽卫视,rtp://239.21.1.159:5002
北京卫视,rtp://239.21.1.88:5002
北京卫视-4K,rtp://239.21.2.172:5002
东方卫视,rtp://239.21.1.111:5002
东南卫视,rtp://239.21.1.113:5002
凤凰卫视,rtp://239.21.2.153:5002
凤凰香港,rtp://239.21.2.164:5002
凤凰资讯,rtp://239.21.2.163:5002
甘肃卫视,rtp://239.21.2.22:5002
甘肃卫视,rtp://239.21.2.55:5002
广东卫视,rtp://239.21.1.92:5002
广东卫视-4K,rtp://239.21.2.173:5002
广西卫视,rtp://239.21.2.87:5002
贵州卫视,rtp://239.21.1.166:5002
海南卫视,rtp://239.21.2.14:5002
河北卫视,rtp://239.21.1.168:5002
河南卫视,rtp://239.21.2.37:5002
黑龙江卫视,rtp://239.21.1.91:5002
湖北卫视,rtp://239.21.1.163:5002
湖南卫视,rtp://239.21.1.158:5002
吉林卫视,rtp://239.21.2.49:5002
江苏卫视,rtp://239.21.1.89:5002
江西卫视,rtp://239.21.1.167:5002
辽宁卫视,rtp://239.21.1.164:5002
青海卫视,rtp://239.21.2.51:5002
青海卫视,rtp://239.21.2.85:5002
山东卫视,rtp://239.21.1.87:5002
山东卫视,rtp://239.21.2.158:5002
山东卫视,rtp://239.21.2.157:5002
深圳卫视,rtp://239.21.1.93:5002
深圳卫视-4K,rtp://239.21.2.174:5002
四川卫视,rtp://239.21.2.15:5002
天津卫视,rtp://239.21.1.165:5002
云南卫视,rtp://239.21.2.86:5002
浙江卫视,rtp://239.21.1.90:5002
重庆卫视,rtp://239.21.1.233:5002
CHC动作电影,rtp://239.21.2.128:5002
CHC高清电影,rtp://239.21.2.127:5002
CHC家庭影院,rtp://239.21.2.126:5002
IPTV动作影院,rtp://239.21.1.123:5002
IPTV经典电影,rtp://239.21.1.124:5002
IPTV魅力时尚,rtp://239.21.1.129:5002
IPTV热播剧场,rtp://239.21.1.128:5002
IPTV少儿动画,rtp://239.21.1.125:5002
IPTV喜剧影院,rtp://239.21.1.122:5002
IPTV相声小品,rtp://239.21.1.126:5002
茶,rtp://239.21.2.110:5002
东方财经,rtp://239.21.2.108:5002
动漫秀场,rtp://239.21.2.92:5002
都市剧场,rtp://239.21.2.90:5002
法治天地,rtp://239.21.2.105:5002
光影,rtp://239.21.1.131:5002
海洋频道,rtp://239.21.2.119:5002
纪实科教,rtp://239.21.1.172:5002
金色学堂,rtp://239.21.2.102:5002
金鹰纪实,rtp://239.21.1.170:5002
金鹰卡通,rtp://239.21.2.121:5002
精彩影视,rtp://239.21.2.91:5002
卡酷少儿,rtp://239.21.2.120:5002
快乐垂钓,rtp://239.21.2.97:5002
乐游,rtp://239.21.2.104:5002
梨园,rtp://239.21.2.101:5002
美人,rtp://239.21.1.132:5002
魅力足球,rtp://239.21.2.95:5002
墨宝,rtp://239.21.1.130:5002
汽摩,rtp://239.21.2.142:5002
求索纪录,rtp://239.21.2.159:5002
生活时尚,rtp://239.21.2.103:5002
生态环境,rtp://239.21.2.160:5002
天下足球,rtp://239.21.1.162:5002
文物宝库,rtp://239.21.2.109:5002
武术世界,rtp://239.21.2.96:5002
游戏风云,rtp://239.21.2.107:5002
中国交通,rtp://239.21.1.115:5002
重温经典影视,rtp://239.21.2.77:5002
综合测试,rtp://239.21.1.203:5002
