CCTV-1,rtp://239.254.200.45:8008
CCTV-2,rtp://239.254.200.158:6000
CCTV-3,rtp://239.254.201.152:7205
CCTV-4,rtp://239.254.200.190:6307
CCTV-4欧洲,rtp://239.254.201.205:4220
CCTV-4美洲,rtp://239.254.201.206:4220
CCTV-5,rtp://239.254.201.153:7206
CCTV-6,rtp://239.254.201.154:7207
CCTV-7,rtp://239.254.200.159:6000
CCTV-8,rtp://239.254.201.155:7208
CCTV-9,rtp://239.254.200.59:8112
CCTV-10,rtp://239.254.200.160:6000
CCTV-11,rtp://239.254.201.123:8120
CCTV-12,rtp://239.254.200.161:6000
CCTV-13,rtp://239.254.200.9:8264
CCTV-14,rtp://239.254.200.162:6000
CCTV-15,rtp://239.254.201.124:8136
CCTV-16,rtp://239.254.200.61:6344
CCTV-17,rtp://239.254.201.120:8144
CCTV-5+,rtp://239.254.200.46:8004
CGTN,rtp://239.254.200.12:8056
CCTV-4K,rtp://239.254.200.122:7266
CGTN 英文记录,rtp://239.254.201.208:4220
CGTN 西班牙语,rtp://239.254.201.209:4220
CGTN 法语,rtp://239.254.201.210:4220
CGTN 阿拉伯语,rtp://239.254.201.211:4220
CGTN 俄语,rtp://239.254.201.212:4220
电视指南,rtp://239.254.201.217:7250
第一剧场,rtp://239.254.201.218:7258
风云剧场,rtp://239.254.201.219:7257
怀旧剧场,rtp://239.254.201.220:7256
风云音乐,rtp://239.254.201.221:7259
风云足球,rtp://239.254.201.222:7251
高尔夫网球,rtp://239.254.201.223:7252
兵器科技,rtp://239.254.201.225:7249
世界地理,rtp://239.254.201.226:7254
女性时尚,rtp://239.254.201.228:7255
文化精品,rtp://239.254.201.229:7260
央视台球,rtp://239.254.201.171:7176
兵器科技,rtp://239.254.200.101:6235
世界地理,rtp://239.254.200.102:6236
老故事,rtp://239.254.200.104:6237
中学生,rtp://239.254.200.113:6243
凤凰卫视电影台,rtp://239.254.201.1:5214
凤凰卫视中文台,rtp://239.254.201.2:5226
凤凰卫视资讯台,rtp://239.254.201.3:5227
湖南卫视,rtp://239.254.200.48:8012
浙江卫视,rtp://239.254.200.53:8036
江苏卫视,rtp://239.254.200.51:8028
安徽卫视,rtp://239.254.200.163:6000
东南卫视,rtp://239.254.201.13:6291
北京卫视,rtp://239.254.200.47:8024
天津卫视,rtp://239.254.200.54:1234
辽宁卫视,rtp://239.254.200.57:8056
山东卫视,rtp://239.254.200.55:8052
云南卫视,rtp://239.254.200.68:8108
河北卫视,rtp://239.254.200.174:6000
河南卫视,rtp://239.254.201.16:7174
黑龙江卫视,rtp://239.254.200.49:8016
四川卫视,rtp://239.254.200.202:6325
江西卫视,rtp://239.254.201.12:6290
贵州卫视,rtp://239.254.201.20:6315
深圳卫视,rtp://239.254.200.50:8020
湖北卫视,rtp://239.254.200.164:6000
东方卫视,rtp://239.254.200.52:8032
重庆卫视,rtp://239.254.200.203:6323
山西卫视,rtp://239.254.200.83:8172
广东卫视,rtp://239.254.200.56:8048
广西卫视,rtp://239.254.200.80:8300
吉林卫视,rtp://239.254.201.15:6339
陕西卫视,rtp://239.254.200.82:8140
内蒙古卫视,rtp://239.254.200.84:8176
青海卫视,rtp://239.254.200.85:8184
海南卫视,rtp://239.254.201.125:6288
宁夏卫视,rtp://239.254.200.87:8124
西藏卫视,rtp://239.254.200.88:8164
新疆卫视,rtp://239.254.200.89:8160
甘肃卫视,rtp://239.254.200.17:8180
山东教育,rtp://239.254.200.247:4120
兵团卫视,rtp://239.254.200.156:4120
三沙卫视,rtp://239.254.200.165:4120
