CCTV1,rtp://233.50.201.118:5140
CCTV2,rtp://233.50.201.119:5140
CCTV3,rtp://233.50.201.196:5140
CCTV4,rtp://233.50.201.4:5140
CCTV5,rtp://233.50.201.197:5140
CCTV5+,rtp://233.50.201.220:5140
CCTV6,rtp://233.50.201.198:5140
CCTV7,rtp://233.50.201.120:5140
CCTV8,rtp://233.50.201.199:5140
CCTV9,rtp://233.50.201.121:5140
CCTV10,rtp://233.50.201.122:5140
CCTV11,rtp://233.50.201.11:5140
CCTV12,rtp://233.50.201.123:5140
CCTV13,rtp://233.50.201.246:5140
CCTV14,rtp://233.50.201.124:5140
CCTV15,rtp://233.50.201.15:5140
CCTV16 4k,rtp://233.50.201.63:5140
CCTV16,rtp://233.50.201.192:5140
CCTV17,rtp://233.50.201.35:5140
浙江卫视,rtp://233.50.201.100:5140
深圳卫视,rtp://233.50.201.101:5140
广东卫视,rtp://233.50.201.102:5140
湖南卫视,rtp://233.50.201.103:5140
天津卫视,rtp://233.50.201.104:5140
山东卫视,rtp://233.50.201.105:5140
江苏卫视,rtp://233.50.201.106:5140
北京卫视,rtp://233.50.201.107:5140
四川卫视,rtp://233.50.201.139:5140
河北卫视,rtp://233.50.201.140:5140
辽宁卫视,rtp://233.50.201.141:5140
贵州卫视,rtp://233.50.201.142:5140
重庆卫视,rtp://233.50.201.143:5140
河南卫视,rtp://233.50.201.144:5140
江西卫视,rtp://233.50.201.145:5140
东南卫视,rtp://233.50.201.146:5140
安徽卫视,rtp://233.50.201.113:5140
湖北卫视,rtp://233.50.201.114:5140
黑龙江卫视,rtp://233.50.201.115:5140
东方卫视,rtp://233.50.201.125:5140
内蒙古卫视,rtp://233.50.201.148:5140
甘肃卫视,rtp://233.50.201.149:5140
海南卫视,rtp://233.50.201.55:5140
青海卫视,rtp://233.50.201.65:5140
西藏卫视,rtp://233.50.201.70:5140
陕西卫视,rtp://233.50.201.59:5140
兵团卫视,rtp://233.50.201.72:5140
山西卫视,rtp://233.50.201.51:5140
宁夏卫视,rtp://233.50.201.57:5140
广西卫视,rtp://233.50.201.49:5140
云南卫视,rtp://233.50.201.46:5140
吉林卫视,rtp://233.50.201.48:5140
中国教育一套,rtp://233.50.201.75:5140
中国教育四套,rtp://233.50.201.172:5140
凤凰卫视中文,rtp://233.50.200.191:5140
凤凰卫视资讯,rtp://233.50.200.192:5140
CGTN,rtp://233.50.201.126:5140
CGTN-西班牙语,rtp://233.50.201.36:5140
CGTN-法语,rtp://233.50.201.37:5140
CGTN-阿拉伯语,rtp://233.50.201.38:5140
CGTN-俄语,rtp://233.50.201.39:5140
