央视频道&爬虫,#genre#
CCTV1,http://123.97.147.153:4022/rtp/233.50.201.118:5140
CCTV2,http://123.97.147.153:4022/rtp/233.50.201.119:5140
CCTV3,http://123.97.147.153:4022/rtp/233.50.201.196:5140
CCTV4,http://123.97.147.153:4022/rtp/233.50.201.4:5140
CCTV5,http://123.97.147.153:4022/rtp/233.50.201.197:5140
CCTV5+,http://123.97.147.153:4022/rtp/233.50.201.220:5140
CCTV6,http://123.97.147.153:4022/rtp/233.50.201.198:5140
CCTV7,http://123.97.147.153:4022/rtp/233.50.201.120:5140
CCTV8,http://123.97.147.153:4022/rtp/233.50.201.199:5140
CCTV9,http://123.97.147.153:4022/rtp/233.50.201.121:5140
CCTV10,http://123.97.147.153:4022/rtp/233.50.201.122:5140
CCTV11,http://123.97.147.153:4022/rtp/233.50.201.11:5140
CCTV12,http://123.97.147.153:4022/rtp/233.50.201.123:5140
CCTV13,http://123.97.147.153:4022/rtp/233.50.201.246:5140
CCTV14,http://123.97.147.153:4022/rtp/233.50.201.124:5140
CCTV15,http://123.97.147.153:4022/rtp/233.50.201.15:5140
CCTV16 4k,http://123.97.147.153:4022/rtp/233.50.201.63:5140
CCTV16,http://123.97.147.153:4022/rtp/233.50.201.192:5140
CCTV17,http://123.97.147.153:4022/rtp/233.50.201.35:5140
河南卫视4K,http://1.198.251.36:9112/rtp/239.16.20.199:11990
卫视频道&爬虫,#genre#
安徽卫视,http://123.97.147.153:4022/rtp/233.50.201.113:5140
北京卫视,http://123.97.147.153:4022/rtp/233.50.201.107:5140
兵团卫视,http://123.97.147.153:4022/rtp/233.50.201.72:5140
重庆卫视,http://123.97.147.153:4022/rtp/233.50.201.143:5140
东方卫视,http://123.97.147.153:4022/rtp/233.50.201.125:5140
东南卫视,http://123.97.147.153:4022/rtp/233.50.201.146:5140
凤凰卫视中文,http://123.97.147.153:4022/rtp/233.50.200.191:5140
凤凰卫视资讯,http://123.97.147.153:4022/rtp/233.50.200.192:5140
甘肃卫视,http://123.97.147.153:4022/rtp/233.50.201.149:5140
广东卫视,http://123.97.147.153:4022/rtp/233.50.201.102:5140
广西卫视,http://123.97.147.153:4022/rtp/233.50.201.49:5140
贵州卫视,http://123.97.147.153:4022/rtp/233.50.201.142:5140
海南卫视,http://123.97.147.153:4022/rtp/233.50.201.55:5140
河北卫视,http://123.97.147.153:4022/rtp/233.50.201.140:5140
河南卫视,http://123.97.147.153:4022/rtp/233.50.201.144:5140
黑龙江卫视,http://123.97.147.153:4022/rtp/233.50.201.115:5140
湖北卫视,http://123.97.147.153:4022/rtp/233.50.201.114:5140
湖南卫视,http://123.97.147.153:4022/rtp/233.50.201.103:5140
吉林卫视,http://123.97.147.153:4022/rtp/233.50.201.48:5140
江苏卫视,http://123.97.147.153:4022/rtp/233.50.201.106:5140
江西卫视,http://123.97.147.153:4022/rtp/233.50.201.145:5140
辽宁卫视,http://123.97.147.153:4022/rtp/233.50.201.141:5140
内蒙古卫视,http://123.97.147.153:4022/rtp/233.50.201.148:5140
宁夏卫视,http://123.97.147.153:4022/rtp/233.50.201.57:5140
青海卫视,http://123.97.147.153:4022/rtp/233.50.201.65:5140
山东卫视,http://123.97.147.153:4022/rtp/233.50.201.105:5140
山西卫视,http://123.97.147.153:4022/rtp/233.50.201.51:5140
陕西卫视,http://123.97.147.153:4022/rtp/233.50.201.59:5140
深圳卫视,http://123.97.147.153:4022/rtp/233.50.201.101:5140
四川卫视,http://123.97.147.153:4022/rtp/233.50.201.139:5140
天津卫视,http://123.97.147.153:4022/rtp/233.50.201.104:5140
西藏卫视,http://123.97.147.153:4022/rtp/233.50.201.70:5140
云南卫视,http://123.97.147.153:4022/rtp/233.50.201.46:5140
浙江卫视,http://123.97.147.153:4022/rtp/233.50.201.100:5140
央视数字&爬虫,#genre#
CHC动作电影,http://60.26.182.219:4022/rtp/225.1.1.215:5002
CHC家庭影院,http://60.26.182.219:4022/rtp/225.1.1.213:5002
CHC影迷电影,http://60.26.182.219:4022/rtp/225.1.1.214:5002
地理世界,http://60.26.182.219:4022/rtp/225.1.2.171:5002
第一剧场,http://60.26.182.219:4022/rtp/225.1.2.175:5002
风云剧场,http://60.26.182.219:4022/rtp/225.1.2.174:5002
风云音乐,http://60.26.182.219:4022/rtp/225.1.2.176:5002
怀旧剧场,http://60.26.182.219:4022/rtp/225.1.2.173:5002
女性时尚,http://60.26.182.219:4022/rtp/225.1.2.172:5002
